1.41925	25813.3
3.27445	17476.6
5.12712	16994.5
6.97944	19787.1
8.83138	22376.8
10.683	7396.03
12.5363	2326.42
14.3872	1081.12
16.2377	498.336
18.0878	289.419
19.9376	190.893
21.7869	169.198
23.636	133.504
25.4846	124.58
27.3351	110.797
29.183	100.796
31.0306	102.533
32.8778	86.08
34.7246	88.4772
36.5711	92.5477
38.4172	80.3207
40.263	90.3566
42.1084	76.225
43.9534	76.1586
45.7981	86.1464
47.6424	84.2229
49.4863	92.8783
51.3299	92.8878
53.1731	89.0298
55.016	96.4065
56.8584	133.108
58.7006	192.888
60.5423	251.715
62.3837	292.031
64.2248	285.353
66.0655	299.675
67.9058	327.947
69.7457	350.435
71.5853	371.373
73.4245	379.547
75.2634	394.321
77.1019	420.252
78.9401	473.923
80.7779	571.398
82.6153	639.758
84.4523	683.941
86.289	698.392
88.1254	742.011
89.9614	794.953
91.7949	805.479
93.6301	847.115
95.465	881.54
97.2996	888.884
99.1337	892.04
100.968	922.572
102.801	916.455
104.632	932.602
106.465	940.349
108.297	960.102
110.129	950.213
111.961	956.49
113.792	973.815
115.621	965.552
117.452	954.436
119.282	951.387
121.112	942.133
122.939	949.453
124.768	959.666
126.597	959.671
128.425	963.833
130.253	962.933
132.079	951.889
133.906	949.856
135.733	967.419
137.558	966.487
139.384	961.203
141.21	972.529
143.036	964.204
144.859	963.777
146.684	948.212
148.508	965.04
150.33	960.412
152.154	965.18
153.977	986.841
155.798	963.246
157.621	986.503
159.444	988.081
161.263	980.538
163.085	976.522
164.906	967.911
166.725	965.136
168.546	969.152
170.364	990.708
172.184	967.529
174.003	966.505
175.82	970.367
177.639	993.341
179.455	966.214
181.274	969.895
183.089	960.769
184.907	1013.43
186.724	993.022
188.538	989.969
190.354	988.452
192.168	980.599
193.984	1009.64
195.797	992.319
197.612	995.471
199.424	1017.14
201.239	1007.4
203.05	1020.73
204.864	1025.18
206.675	1000.21
208.488	988.48
210.298	1014.54
212.11	1012.09
213.92	997.403
215.729	1003.73
217.54	1009.24
219.349	1004.32
221.159	1003.93
222.967	977.66
224.776	1028.33
226.583	995.17
228.39	1009.16
230.199	994.779
232.005	999.391
233.813	1021.31
235.618	1004.49
237.423	1030.47
239.23	1024.47
241.034	1048.67
242.838	1015.42
244.644	1015.98
246.447	1021.08
248.25	1031.94
250.055	1049.99
251.857	1034.47
253.659	1053.31
255.461	1027.44
257.264	1030.67
259.065	1047.67
260.865	1042.44
262.667	1037.17
264.467	1053.8
266.267	1045.27
268.066	1058.15
269.866	1058.41
271.665	1066.71
273.463	1035.64
275.261	1062.26
277.06	1056.7
278.857	1044.53
280.654	1068
282.45	1067.87
284.246	1061.23
286.041	1070
287.839	1073.85
289.634	1070.02
291.428	1075.74
293.222	1057.17
295.016	1085.48
296.81	1088.1
298.605	1098.22
300.398	1077.83
302.19	1102.39
303.982	1082.61
305.774	1108.78
307.566	1087.54
309.357	1089.84
311.147	1060.48
312.938	1094.73
314.728	1098.83
316.52	1082.63
318.309	1067.89
320.098	1104.06
321.887	1107.19
323.675	1105.31
325.463	1108.29
327.25	1074.43
329.038	1083.94
330.825	1113.45
332.611	1130.53
334.397	1096.41
336.183	1115.63
337.969	1101.9
