3.47481	64.2476
4.00479	59.1745
4.53258	92.8585
5.0625	96.9668
5.59024	84.7541
6.12009	79.6809
6.64777	76.6474
7.17757	79.7353
7.70518	76.7014
8.23492	78.7693
8.76463	74.7144
9.29216	83.9265
9.82181	78.8507
10.3493	77.8571
10.8789	72.7802
11.4063	79.953
11.9358	91.2106
12.4632	77.9655
12.9926	86.1613
13.5199	91.2948
14.0493	86.2168
14.5766	92.3724
15.1038	62.7808
15.6331	79.1501
16.1602	78.156
16.6895	87.3777
17.2166	74.1241
17.7458	68.0207
18.2728	79.2875
18.8019	82.3808
19.3289	78.3207
19.8558	76.3042
20.3849	86.5531
20.9118	79.426
21.4407	90.699
21.9676	82.5489
22.4943	83.5996
23.0233	85.6731
23.55	67.2945
24.0788	79.5942
24.6055	80.6453
25.1321	86.811
25.6609	78.6563
26.1875	76.6387
26.714	68.4818
27.2427	84.8812
27.7692	84.9105
28.2978	80.8462
28.8242	87.0163
29.3506	78.857
29.8791	84.0047
30.4055	83.0105
30.9318	90.2074
31.4581	84.0937
31.9865	87.196
32.5127	90.299
33.0389	84.1837
33.5672	91.3849
34.0933	92.4406
34.6194	78.127
35.1455	81.231
35.6737	73.0626
36.1997	71.0422
36.7257	86.4477
37.2538	84.4284
37.7797	80.3584
38.3056	81.4146
38.8315	69.1389
39.3573	81.4764
39.8853	90.7398
40.4111	90.7721
40.9368	81.5702
41.4625	90.8371
41.9904	83.6859
42.516	79.6121
43.0417	76.5639
43.5673	79.6752
44.0928	84.8409
44.6184	95.1426
45.1461	79.7705
45.6715	83.9113
46.197	88.0533
46.7224	79.8667
47.2478	69.6227
47.7732	83.0145
48.3007	97.438
48.826	76.5297
49.3513	90.5219
49.8765	84.7971
50.4017	81.7472
50.9269	71.8575
51.4521	74.7429
51.9772	70.0158
52.5044	78.3128
53.0295	67.3646
53.5546	59.3024
54.0796	63.5242
54.6046	60.4871
55.1295	56.4537
55.6544	52.9038
56.1793	46.0523
56.7042	50.5796
57.229	57.163
57.7538	55.3398
58.2786	57.3407
58.8034	58.0814
59.3281	75.1142
59.8528	76.2766
60.3774	79.2136
60.9021	81.0547
61.4267	85.919
61.9513	90.5635
62.4758	98.1034
63.0003	95.8308
63.5248	94.8898
64.0492	109.566
64.5737	98.8985
65.0981	97.5757
65.6224	91.4949
66.1468	94.4288
66.6711	97.7818
67.1954	96.0775
67.7196	92.1651
68.2438	101.074
68.768	99.2293
69.2922	101.647
69.8163	114.286
70.3404	109.26
70.8645	109.226
71.3885	112.624
71.9126	112.348
72.4365	116.172
72.9584	117.389
73.4823	115.625
74.0062	112.74
74.53	117.534
75.0539	120.817
75.5777	121.519
76.1015	114.596
76.6252	122.518
77.1468	125.345
